Term,Weight
application,0.010431873517689531
syndicated,0.010368737485413317
enabling,0.01031361385051574
currency,0.010230566445265873
visibility,0.010215108391439071
rate,0.010200732395892075
processing,0.0101828557915093
including,0.01017467481352835
delivery,0.01009624662345689
rail,0.010061492869585539
continue,0.01001012019347552
leading,0.010005782798659432
correspondent,0.009988322903681547
importer,0.009953987985996783
insuree,0.009953987985996783
creating,0.00988595468706465
overall,0.009869192784183571
saving,0.009781245067917992
finance,0.009768907920750598
facilitate,0.009766464681147816
effort,0.00976228148557592
drive,0.00974318025548861
usage,0.00972882329708848
real-time,0.009706518393823542
history,0.009688602698542357
allows,0.009684323589922706
established,0.009671472698906865
making,0.009630451474603827
build,0.009610718133855441
country,0.00958724531156616
policy,0.009544916988088346
deliver,0.009527808998956737
decision,0.009489136244363872
algorithmic,0.009412381472798586
distributor,0.009376635060199496
error,0.009343125789436288
connection,0.009249827397219593
strong,0.009221454733202432
beneficiary,0.009124524139839637
import,0.009124488987163719
auditor,0.009124488987163719
connectivity,0.009121383574817853
year,0.009101636144532686
necessary,0.009089996954273188
matter,0.009077073405090747
diligence,0.009068455443693084
environment,0.009056599744211163
clearing,0.008974467466028688
economy,0.008969135190363773
subject,0.008965812396468422
flow,0.00895751578124612
archetype,0.008937704434320334
shared,0.008932017550154749
shifting,0.00892599542544881
purpose,0.008922376669794434
automation,0.008920397569459525
face,0.008903456787771671
reducing,0.00888457731434376
advice,0.008846093527958543
form,0.008833606860970691
on…,0.008824107630748673
description,0.008736851071944655
ratio,0.008733725926357625
export,0.008709739487747186
major,0.008680423634826446
away,0.008679761306374066
calculation,0.008638633584182457
fintech,0.008635173668790871
consolidation,0.008609804756138192
officer,0.008609199812240464
collection,0.008594600394329138
quantitative,0.00856572645234547
initiate,0.008556763950537779
disruptive,0.008539752811669934
stored,0.008532454245869417
direct,0.008523020347063965
early,0.00852151798842779
important,0.00848283478436231
accrue,0.00845830341699212
problem,0.008449634669441528
best,0.008443851836861303
segment,0.008413226530529519
creation,0.00838091176149768
commercial,0.008374801799742725
building,0.008348604411640061
governance,0.008338851504659898
disruption,0.008331367345689589
significantly,0.008313899671803203
easily,0.00830288816489754
exporter,0.008294989988330654
trigger,0.00829203471755444
standardized,0.008262861969452577
insurtechs,0.008251438852975556
specific,0.008234879296066214
store,0.008216217335705909
net,0.008204612302690586
canada,0.008200460338440263
work,0.008190052115449634
smarter,0.008180337390318383
manage,0.008176171578743195
registry,0.008172432759903332
framework,0.008157972485029912
corporate,0.008155227623445362
local,0.008138635536155906
currently,0.008065072386363696
power,0.008065030713681752
event,0.008064001005975615
particularly,0.008058879107722973
sophisticated,0.008001174856295869
limit,0.007992698983772195
authenticate,0.007960756157169055
narrative,0.007948436463288631
secure,0.007939608351704423
area,0.007882090381582113
various,0.007834576243227254
trader,0.007813101639486956
characteristic,0.007810287483530185
available,0.007784143702200222
preference,0.0077444038277968185
successful,0.007733475442386495
determine,0.007733401539842624
invest,0.007732785604483961
privacy,0.0077314365056988296
leveraging,0.007679851342276681
operation,0.007660792418464425
adjudication,0.007611788919517106
agreement,0.007606201993518231
developed,0.007591998395903712
help,0.007586810866293952
especially,0.007563920436770861
profit,0.007548146111049882
transferred,0.007545371399010355
hold,0.007541834737434486
fraud,0.007540999647410675
letter,0.007520245449158214
certain,0.007487983489464347
pledged,0.007465490989497589
absorption,0.007465490989497589
depiction,0.007465490989497589
cast,0.007465490989497589
real,0.007447187328466204
manufacturer,0.007433132876869591
protocol,0.007403681056424628
like,0.007391557045962473
secondary,0.007390764262213715
loyalty,0.007386287895258293
overview,0.007381632664336802
worth,0.007380343570753566
leader,0.00734665539122445
evolve,0.00731587029136159
behaviour,0.0073072546129227525
coverage,0.0073037705743621475
wallet,0.0072988840951565825
driving,0.007296706012615608
international,0.007275183553429402
tax,0.007240756024877082
action,0.007235225138588073
option,0.0072244858553405615
position,0.0072212578313378215
leverage,0.007206542204607571
non‐financial,0.007193507014592352
document,0.007167353548172554
growing,0.007140448007785078
dimension,0.0071324254211531535
b2b,0.007126242645751618
robo‐advisors,0.007126242645751618
perform,0.007098733104926787
line,0.007095934173995062
pay,0.007063466151049761
