Job No,Institution,URL,Position,Location,List Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
13,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Lafayette-Court/Technology-Team-Lead_3DLAV,Technology Team Lead,New York,1,2,2,1,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,2,0,13,2,0,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Lafayette-Court/Technology-Team-Lead_3DLAV,Technology Team Lead,New York,2,0,2,0,3,2,1,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,13,0,3,0,0,0,7,3,1,0,0,0,1,0,1,8,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,1,18,0,0,0,2,0,0,14,0,0,1,7,3,0,0,0,0,0,0
15,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Lafayette-Court/Technology-Team-Lead_3DLAV,Technology Team Lead,New York,3,2,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,0,0,13,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
16,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Lafayette-Court/Technology-Team-Lead_3DLAU,Technology Team Lead,New York,1,2,2,1,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,2,0,13,2,0,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Lafayette-Court/Technology-Team-Lead_3DLAU,Technology Team Lead,New York,2,0,2,0,3,2,1,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,13,0,3,0,0,0,7,3,1,0,0,0,1,0,1,8,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,1,18,0,0,0,2,0,0,14,0,0,1,7,3,0,0,0,0,0,0
18,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Lafayette-Court/Technology-Team-Lead_3DLAU,Technology Team Lead,New York,3,2,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,0,0,13,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
19,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Lafayette-Court/Technology-Manager_3DL98,Technology Manager,New York,1,7,3,1,2,1,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,10,1,2,0,13,3,0,8,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,5,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Lafayette-Court/Technology-Manager_3DL98,Technology Manager,New York,2,1,3,0,1,7,1,0,0,2,1,0,1,4,0,5,0,0,0,0,1,0,1,0,0,13,0,3,0,0,0,10,4,1,0,0,0,0,0,1,8,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,3,14,0,0,0,3,0,0,3,0,0,5,5,3,0,2,0,0,0,0
21,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Lafayette-Court/Technology-Manager_3DL98,Technology Manager,New York,3,3,7,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,8,0,0,13,10,2,1,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
22,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Harrisburg-Main-More/Netscaler-Engineer-IV_3DL0H,Netscaler Engineer IV,Pennsylvania,1,5,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,5,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0
23,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Harrisburg-Main-More/Netscaler-Engineer-IV_3DL0H,Netscaler Engineer IV,Pennsylvania,2,1,0,0,4,5,0,0,0,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,5,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,13,0,0,0,5,0,0,0,0,1,0,4,0,0,1,0,0,0,0
24,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Harrisburg-Main-More/Netscaler-Engineer-IV_3DL0H,Netscaler Engineer IV,Pennsylvania,3,0,5,4,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,2,0,1,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/One-MT-Plaza/Treasury-Analysts_R02072,Treasury Analysts,New York,1,10,3,0,12,0,1,18,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,0,0,1,0,11,0,1,0,1,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,0,2,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
26,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/One-MT-Plaza/Treasury-Analysts_R02072,Treasury Analysts,New York,2,2,3,0,1,10,0,0,1,12,1,0,0,1,0,18,2,0,0,0,0,2,1,0,0,0,0,4,0,0,0,5,1,3,0,0,0,0,0,1,11,0,6,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,2,0,1,1,0,2,1,4,0,0,0,0,0,1,1
27,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/One-MT-Plaza/Treasury-Analysts_R02072,Treasury Analysts,New York,3,3,10,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,11,0,0,0,5,3,1,0,0,0,1,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
28,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/One-MT-Plaza/Financial-Analyst-III---Controller_R02790,Financial Analyst III - Controller,New York,1,8,7,0,6,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,3,0,1,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/One-MT-Plaza/Financial-Analyst-III---Controller_R02790,Financial Analyst III - Controller,New York,2,1,7,0,0,8,0,0,0,6,1,0,0,0,1,2,5,0,0,0,1,1,0,0,0,1,0,4,0,0,0,3,0,1,0,0,0,0,0,6,5,0,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,5,0,9,0,0,2,4,0,0,0,4,0,0,2,0,0,0,1,0,0,1,0,0,2,0
30,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/One-MT-Plaza/Financial-Analyst-III---Controller_R02790,Financial Analyst III - Controller,New York,3,7,8,0,0,1,0,5,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,5,0,0,1,3,3,1,0,0,2,0,0,0,1,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
31,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Park-Avenue/Receptionist_R02668,Receptionist,New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Park-Avenue/Receptionist_R02668,Receptionist,New York,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Park-Avenue/Receptionist_R02668,Receptionist,New York,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Tenth--Market-Street/Senior-Service-Associate_R02863,Senior Service Associate,Delaware,1,9,0,1,0,7,9,1,0,0,0,0,0,0,0,0,0,1,0,2,0,8,0,1,0,1,3,0,2,0,1,0,0,1,0,0,0,3,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Tenth--Market-Street/Senior-Service-Associate_R02863,Senior Service Associate,Delaware,2,17,0,0,9,9,1,0,1,0,0,0,1,1,0,1,4,2,0,0,0,0,0,0,0,1,0,2,0,0,0,8,6,0,0,0,0,1,0,3,2,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,7,0,0,1,0,3,1,0,0,0,0,0,0,0,0,4,0,0,1,4,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Tenth--Market-Street/Senior-Service-Associate_R02863,Senior Service Associate,Delaware,3,0,9,9,1,7,0,4,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,8,1,0,0,0,0,0,0,0,5,2,0,3,0,4,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Broadcasting-Square/Branch-Operations-Coordinator_R02907,Branch Operations Coordinator,Pennsylvania,1,3,0,0,0,4,8,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0
38,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Broadcasting-Square/Branch-Operations-Coordinator_R02907,Branch Operations Coordinator,Pennsylvania,2,10,0,0,8,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Broadcasting-Square/Branch-Operations-Coordinator_R02907,Branch Operations Coordinator,Pennsylvania,3,0,3,8,0,4,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
40,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Commerce-Drive/Cisco-Telecom-Voice-Analyst_R02815,Cisco Telecom Voice Analyst,New York,1,2,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Commerce-Drive/Cisco-Telecom-Voice-Analyst_R02815,Cisco Telecom Voice Analyst,New York,2,2,0,0,4,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,3,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0
42,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Commerce-Drive/Cisco-Telecom-Voice-Analyst_R02815,Cisco Telecom Voice Analyst,New York,3,0,2,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
43,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Parsippany/Sr-Service-Associate_R02853,Sr. Service Associate,New Jersey,1,8,0,0,0,7,8,1,0,0,0,0,0,0,0,0,0,1,0,2,0,8,0,1,0,1,3,0,2,0,1,0,0,1,0,0,0,3,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Parsippany/Sr-Service-Associate_R02853,Sr. Service Associate,New Jersey,2,17,0,0,8,8,0,0,1,0,0,0,1,1,0,1,4,2,0,0,0,0,0,0,0,1,0,2,0,0,0,8,6,0,0,0,0,1,0,3,2,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,6,0,0,1,0,3,1,0,0,0,0,0,0,0,0,4,0,0,1,4,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Parsippany/Sr-Service-Associate_R02853,Sr. Service Associate,New Jersey,3,0,8,8,0,7,0,4,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,8,1,0,0,0,0,0,0,0,5,2,0,3,0,4,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Elmsford/Service-Associate_R02851,Service Associate,New York,1,2,1,0,1,2,13,2,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Elmsford/Service-Associate_R02851,Service Associate,New York,2,15,1,0,13,2,0,0,0,1,0,4,1,0,0,2,5,9,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,1,0,4,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,1,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0
48,M&T Bank,https://mtb.wd5.myworkdayjobs.com/en-US/MTB/job/Elmsford/Service-Associate_R02851,Service Associate,New York,3,1,2,13,0,2,0,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,9,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
